rownames,owner,farm_name,mill,in_country_partner,country_of_origin,altitude_low_meters,altitude_high_meters,altitude_mean_meters,number_of_bags,bag_weight,species,variety,processing_method,aroma,flavor,aftertaste,acidity,body,balance,uniformity,clean_cup,sweetness,moisture,category_one_defects,category_two_defects,color,total_cup_points
1101,eileen koyanagi,,,Specialty Coffee Association,United States (Hawaii),,,,2,100 lbs,Arabica,Hawaiian Kona,Natural / Dry,7.5,7.08,7.67,7.67,7.42,7.58,9.33,9.33,9.33,0.12,4,13,Green,80.25
1102,honor dela fuente,,,Specialty Coffee Association,Colombia,,,,1,2 kg,Arabica,Typica,Washed / Wet,7.42,8,7.83,7.75,8.08,7.58,8.67,8.67,8.67,0.1,0,0,Green,80.25
1103,cqi taiwan icp cqi台灣合作夥伴,weng hui ling 翁惠鈴,weng hui ling 翁惠鈴,Blossom Valley International,Taiwan,700,700,700,5,30 kg,Arabica,Typica,Semi-washed / Semi-pulped,7.25,7.08,7.25,7.25,7.17,7.25,10,10,10,0.11,0,0,Green,80.25
1104,the coffee source inc.,several,ixchel,Specialty Coffee Association,Guatemala,1400,1400,1400,250,1 kg,Arabica,Caturra,Washed / Wet,7,7.17,7.33,7.33,7,7.17,10,10,10,0.11,1,12,Green,80.25
1105,saul m. hernandez ramirez,mirador,en coyula,AMECAFE,Mexico,808,808,808,10,1 kg,Arabica,Caturra,Washed / Wet,7.58,7.33,7.17,7.25,6.75,7,10,10,10,0.11,2,8,None,80.25
1106,"sunvirtue co., ltd.",apollo estate,yes,Specialty Coffee Association,Vietnam,1550,1550,1550,1,2 kg,Arabica,Catimor,Other,7.42,7.25,7.25,7.58,7.42,7.33,8.67,10,10,0,0,2,,80.17
1107,"exportadora atlantic, s.a.",los mesones,planta procesadora sebaco,Asociación de Cafés Especiales de Nicaragua,Nicaragua,1100,1275,1187.5,275,2 kg,Arabica,Caturra,Washed / Wet,7.17,7.08,7.08,7.33,7.25,7.08,10,10,10,0.11,0,2,,80.17
1108,cadexsa,cerro bueno,cadexsa,Instituto Hondureño del Café,Honduras,1400,1400,1400,275,1 kg,Arabica,Catuai,Washed / Wet,7.25,7.25,7,7.17,7.08,7.08,10,10,10,0.11,0,0,Green,80.17
1109,juan luis alvarado romero,el morito,beneficio ixchel,Asociacion Nacional Del Café,Guatemala,1310.64,1310.64,1310.64,250,69 kg,Arabica,Bourbon,Washed / Wet,7.33,7.33,7,7.17,7.17,7.17,10,10,10,0.11,0,2,Green,80.17
1110,pablo enrique martinez gama,"la orduña, coatepec, veracruz",alcafe s.a. de c.v,AMECAFE,Mexico,1250,1250,1250,20,1 kg,Arabica,Typica,Washed / Wet,7.33,7.08,6.92,7.42,7.25,7.08,10,10,10,0.11,0,2,Green,80.17
1111,israel eduardo paz garcia,el carrizo,"zaragoza itundujia, oaxaca",AMECAFE,Mexico,1550,1550,1550,15,1 kg,Arabica,Typica,Washed / Wet,7.58,7.42,7.33,7.5,7.08,7.17,8.67,10,10,0.14,1,2,Green,80.17
1112,marco virgilio ramirez teliz,el aguacate,cafes de naranjal s.a. de c.v.,AMECAFE,Mexico,1000,1000,1000,15,1 kg,Arabica,Bourbon,Washed / Wet,7.33,7.33,7.17,7.08,7.25,7,10,10,10,0.12,0,12,Green,80.17
1113,juan luis alvarado romero,agropecuaria quiagral,beneficio ixchel,Asociacion Nacional Del Café,Guatemala,1310.64,1310.64,1310.64,250,1 kg,Arabica,Bourbon,Washed / Wet,7.33,7.33,7,7.33,7,7,10,10,10,0.11,0,5,Green,80.17
1114,kona pacific farmers cooperative,,,Specialty Coffee Association,United States (Hawaii),,,,22,100 lbs,Arabica,,,7.58,7.5,7.33,7.33,7.67,7.33,9.33,9.33,9.33,0.05,12,1,,80.17
1115,brayan cunha souza,,cafeco 3,Brazil Specialty Coffee Association,Brazil,1100,1100,1100,440,60 kg,Arabica,Bourbon,Pulped natural / honey,7.17,7.17,7,7.17,7.25,7.25,10,10,10,0.11,0,5,Green,80.08
1116,cqi taiwan icp cqi台灣合作夥伴,好自在咖啡莊園,好自在咖啡莊園,Blossom Valley International,Taiwan,850,850,850,10,60 kg,Arabica,Typica,Washed / Wet,7.42,7.25,7.25,7.17,7,7,10,10,10,0.07,0,0,Green,80.08
1117,honor dela fuente,,,Specialty Coffee Association,Nicaragua,,,,1,5 lbs,Arabica,,Natural / Dry,7.25,7.17,6.92,7.25,7.17,7.25,10,10,10,0.1,0,4,Green,80.08
1118,cqi taiwan icp cqi台灣合作夥伴,sheng he shang pin coffee 聖荷上品咖啡坊,sheng he shang pin coffee 聖荷上品咖啡坊,Blossom Valley International,Taiwan,200,200,200,10,30 kg,Arabica,Typica,Other,7.25,7.25,7.25,7.25,7.08,7,10,10,10,0.11,0,0,Green,80.08
1119,cqi taiwan icp cqi台灣合作夥伴,a shu she coffee 阿束社咖啡莊園,a shu she coffee 阿束社咖啡莊園,Blossom Valley International,Taiwan,150,150,150,10,30 kg,Arabica,Typica,Washed / Wet,7.25,7.25,7.25,7,7.25,7.08,10,10,10,0.11,0,0,Green,80.08
1120,cqi taiwan icp cqi台灣合作夥伴,wu kun shan coffee 吳焜山咖啡園,wu kun shan coffee 吳焜山咖啡園,Blossom Valley International,Taiwan,250,250,250,10,30 kg,Arabica,Typica,Semi-washed / Semi-pulped,7.25,7.25,7.25,7.08,7.17,7.08,10,10,10,0.11,0,0,Green,80.08
1121,israel eduardo paz garcia,el tabaco,"zaragoza itundujia, oaxaca",AMECAFE,Mexico,1300,1300,1300,13,1 kg,Arabica,Typica,Washed / Wet,7.33,7.17,7.25,7.08,7.08,7.08,10,10,10,0.15,0,0,None,80.08
1122,federico pacheco perez,,,AMECAFE,Mexico,1300,1300,1300,10,1 kg,Arabica,Typica,Washed / Wet,7.25,7.08,7,7.17,7.33,7.17,10,10,10,0.14,1,17,Green,80.08
1123,"comercial internacional exportadora, s.a.",santa matilde,beneficio san carlos,Instituto Hondureño del Café,Nicaragua,1250,1250,1250,275,69 kg,Arabica,Caturra,Washed / Wet,7.33,7.08,6.92,7.08,7.42,7.17,10,10,10,0.1,0,5,Green,80
1124,ngu shwe li,doe kwin,ngu shwe li coffee estate,Coffee Quality Institute,Myanmar,3845,3845,3845,1,2 kg,Arabica,Other,Washed / Wet,7.17,7.33,7,7.42,7.17,7,10,10,10,0,0,4,Green,80
1125,kurt kappeli,various,productores de cafes especiales sc,Specialty Coffee Association,Mexico,1300,1500,1400,280,2 kg,Arabica,Typica,Washed / Wet,7.58,7.75,7.42,7.5,7.5,7.5,8.67,8.67,10,0,0,2,Green,80
1126,cqi taiwan icp cqi台灣合作夥伴,zhang li hong coffee 張立宏咖啡莊園,zhang li hong coffee 張立宏咖啡莊園,Blossom Valley International,Taiwan,250,250,250,10,30 kg,Arabica,Typica,Washed / Wet,7.25,7.25,7.25,7,7.25,7,10,10,10,0.11,0,0,Green,80
1127,doi tung development project,doi tung development project,doi tung development project,Specialty Coffee Association,Thailand,800,800,800,2,1 kg,Arabica,,Washed / Wet,7.33,6.67,7.08,7.42,7.42,7.08,10,10,10,0,0,0,Green,80
1128,pablo enrique martinez gama,"la orduña, coatepec, veracruz",alcafe s.a. de c.v,AMECAFE,Mexico,1250,1250,1250,20,1 kg,Arabica,Typica,Washed / Wet,7.25,7.25,7.08,7.17,7.33,7.33,9.33,10,10,0.12,0,9,Green,80
1129,semiramis casas velazquez,"santa clara, california y camila",finca camila,AMECAFE,Mexico,1100,1100,1100,256,1 kg,Arabica,Other,Washed / Wet,7.08,7.33,7,7.33,7.08,7,10,10,10,0.11,0,12,Green,80
1130,ethiopia commodity exchange,"phone number | 0911-51-08-01, email | at",,Ethiopia Commodity Exchange,Ethiopia,,,,300,6,Arabica,,,7.42,7.42,7.5,7.92,7.75,7.58,8.67,9.33,8.67,0.05,0,2,,80
1131,federacion nacional de cafeteros,,,Almacafé,Colombia,,,,275,2 kg,Arabica,,Washed / Wet,7.83,7.67,7.58,7.75,7.83,7.17,6.67,10,10,0,0,1,Green,79.92
1132,eileen koyanagi,,,Specialty Coffee Association,United States (Hawaii),,,,12,100 kg,Arabica,Hawaiian Kona,Natural / Dry,7.5,7,7,6.92,7.33,7.17,10,10,10,0.11,1,3,Green,79.92
1133,calixto guillen vazquez,various,productores de cafes especiales sc,AMECAFE,Mexico,1300,1300,1300,400,1 kg,Arabica,Bourbon,Washed / Wet,7.33,7.08,7.08,7.33,7.42,7.17,9.33,10,10,0.12,0,4,Green,79.92
1134,alejandro garcia palacios,finca buenos aires,finca la fortuna,AMECAFE,Mexico,1100,1100,1100,10,1 kg,Arabica,Other,Washed / Wet,7.17,7.17,6.92,7.25,7.33,7.08,10,10,10,0.12,1,7,Green,79.92
1135,christina dusing,rancho san francisco iii,ecc beneficio veracruz,AMECAFE,Mexico,1100,1100,1100,82,1 kg,Arabica,Bourbon,Washed / Wet,7.5,7.17,7,7.17,7.25,7.08,10,10,10,0,0,0,,79.92
1136,montegrande,finca monte grande,"finca montegrande, jaltenango",AMECAFE,Mexico,1100,1100,1100,250,1 kg,Arabica,Catuai,Washed / Wet,7.17,7.08,7.08,7.08,7.5,7.33,9.33,10,10,0.11,0,3,Green,79.92
1137,pablo enrique martinez gama,finca la orduña,"finca la orduña, coatepec, ver.",AMECAFE,Mexico,1250,1250,1250,100,1 kg,Arabica,Typica,Natural / Dry,7.33,7.25,7,7.42,7.17,7.17,9.33,10,10,0.12,0,6,Green,79.92
1138,jesus carlos cadena valdivia,finca huehuetecpan,"cosautlan de carvajal, veracruz, méxico",AMECAFE,Mexico,1250,1250,1250,209,1 kg,Arabica,Mundo Novo,Washed / Wet,7.17,7.33,7.08,7.58,7.33,7.08,10,9.33,10,0.11,0,0,Green,79.92
1139,kona pacific farmers cooperative,,,Specialty Coffee Association,United States (Hawaii),,,,40,100 lbs,Arabica,,,7.5,7.42,7.58,7.42,7.5,7.58,8.67,8.67,10,0.05,3,0,,79.92
1140,kennedy macharia,yara estate / benvar estate,sasini mills / thika cofee mills,Kenya Coffee Traders Association,Kenya,1500,1500,1500,200,12000 kg,Arabica,SL34,Washed / Wet,7,7.08,7,7.17,7.25,7.25,10,10,10,0.11,0,5,,79.83
1141,juan luis alvarado romero,piamonte,beneficio ixchel,Asociacion Nacional Del Café,Guatemala,1700,1700,1700,50,69 kg,Arabica,Bourbon,Washed / Wet,7.33,7.25,6.92,7.33,7.25,7.33,9.33,10,10,0.1,0,2,Green,79.83
1142,asociación aldea global jinotega,asociación aldea global jinotega,beneficio soppexcca,Asociación de Cafés Especiales de Nicaragua,Nicaragua,1250,1250,1250,75,2 kg,Arabica,Caturra,Washed / Wet,6.83,7.17,7.17,6.92,7.5,7.08,10,10,10,0.11,0,0,Green,79.83
1143,sergio de la vequia bernardi,la cuchilla,cafetalera la cuchilla,AMECAFE,Mexico,1300,1300,1300,250,1 kg,Arabica,Typica,Washed / Wet,7.17,7.08,7,7.25,7.5,7,10,10,10,0.12,0,3,Green,79.83
1144,kona pacific farmers cooperative,,,Specialty Coffee Association,United States (Hawaii),,,,12,100 lbs,Arabica,Hawaiian Kona,Natural / Dry,7.58,7.08,6.83,7.17,7.5,7.17,9.33,10,10,0.12,7,10,Blue-Green,79.83
1145,juan luis alvarado romero,la esperanza,beneficio ixchel,Asociacion Nacional Del Café,Guatemala,190164,190164,190164,25,69 kg,Arabica,Bourbon,Washed / Wet,7.5,7.42,7.25,7.58,7.33,7.42,9.33,9.33,9.33,0.1,0,1,Green,79.75
1146,"lin, che-hao krude 林哲豪",ka-vulungan coffee estate,ka-vulungan coffee estate,Specialty Coffee Association,Taiwan,800,1200,1000,28,50 kg,Arabica,Typica,Natural / Dry,7.75,7.33,7.17,7.33,7.67,7.83,9.33,9.33,8.67,0,0,0,,79.75
1147,"lin, che-hao krude 林哲豪",baijiada coffee farm佰加達咖啡莊園,baijiada coffee farm佰加達咖啡莊園,Specialty Coffee Association,Taiwan,500,700,600,50,20 kg,Arabica,Typica,Washed / Wet,7.08,7.08,7.25,7,7.17,7.17,10,10,10,0.1,0,0,Blue-Green,79.75
1148,doi tung development project,,doi tung development project,Specialty Coffee Association,Thailand,800,800,800,1,1 kg,Arabica,,Washed / Wet,7.25,7.08,6.92,7.5,7.08,6.92,10,10,10,0.12,0,0,Green,79.75
1149,dane loraas,,,Specialty Coffee Association,Peru,,,,320,5 lbs,Arabica,,Washed / Wet,7,7.08,7,7.25,7.5,7.42,9.33,10,10,0.12,1,2,Green,79.75
1150,the coffee source inc.,several,coopeagri,Specialty Coffee Association,Costa Rica,1100,1100,1100,275,2 kg,Arabica,Catuai,Washed / Wet,7.58,7.5,7.67,7.75,7.67,7.58,8,8,10,0.1,0,4,Bluish-Green,79.75
1151,fredy gordillo reyes,union ramal santa cruz,union ramal santa cruz,AMECAFE,Mexico,1400,1400,1400,310,1 kg,Arabica,Typica,Washed / Wet,7.58,7.08,7,7,7.5,6.92,10,10,10,0.12,0,4,Green,79.75
1152,leonides de la cruz lopez,comonyaj noptic s de ss,,AMECAFE,Mexico,1022,1022,1022,275,1 kg,Arabica,Bourbon,Washed / Wet,7.58,7.08,6.92,7.58,7.5,6.92,10,9.33,10,0.13,0,4,Green,79.75
1153,calixto guillen vazquez,various,productores de cafes especiales sc,AMECAFE,Mexico,1300,1300,1300,380,1 kg,Arabica,Bourbon,Washed / Wet,7.25,7.08,7,7.17,7.17,7.08,10,10,10,0.12,0,5,Green,79.75
1154,israel eduardo paz garcia,peña negra,"zaragoza itundujia, oaxaca",AMECAFE,Mexico,1450,1450,1450,12,1 kg,Arabica,Bourbon,Washed / Wet,7.25,7.17,7.17,7.08,7.17,7,10,10,10,0.14,0,0,None,79.75
1155,alfredo bojalil,el vergel,amsa oaxaca,AMECAFE,Mexico,1050,1050,1050,250,1 kg,Arabica,Typica,Washed / Wet,7.33,7.25,7,7.08,7.08,7,10,10,10,0.1,1,22,Green,79.75
1156,lusso lab,genuine antigua medina,,Specialty Coffee Association,Guatemala,,,,275,69 kg,Arabica,Bourbon,Washed / Wet,7.58,7.33,7.5,7.33,7,7.33,9.33,9.33,9.33,0,0,4,Green,79.75
1157,montegrande,finca monte grande,,AMECAFE,Mexico,1100,1100,1100,36,1 kg,Arabica,Typica,Washed / Wet,7.25,6.83,6.92,7.08,7.25,7.08,10,10,10,0.12,0,7,,79.75
1158,juan luis alvarado romero,la esmeralda,beneficio ixchel,Asociacion Nacional Del Café,Guatemala,1219.2,1219.2,1219.2,25,69 kg,Arabica,Bourbon,Washed / Wet,7.42,7.42,7.25,7.58,7.42,7.33,9.33,9.33,9.33,0.1,0,1,Green,79.67
1159,consejo salvadoreño del café,la montaña,sociedad cooperativa de cafetaleros de ciudad barrios de r.l.,Salvadoran Coffee Council,El Salvador,1250,1250,1250,275,69 kg,Arabica,Bourbon,Washed / Wet,7.25,7.08,7,6.83,7.33,7.17,10,10,10,0,0,12,Bluish-Green,79.67
1160,doi tung development project,,doi tung development project,Specialty Coffee Association,Thailand,800,800,800,1,1 kg,Arabica,,Washed / Wet,6.92,7.17,6.83,7.42,7.17,7.08,10,10,10,0.12,0,0,Blue-Green,79.67
1161,juan luis alvarado romero,la castellana,beneficio ixchel,Asociacion Nacional Del Café,Guatemala,1310.64,1310.64,1310.64,250,69 kg,Arabica,Bourbon,Washed / Wet,7.5,7,6.83,7.08,7.08,7.17,10,10,10,0.11,0,6,Green,79.67
1162,fredy gordillo reyes,union ramal santa cruz,union ramal santa cruz,AMECAFE,Mexico,1400,1400,1400,310,1 kg,Arabica,Typica,Washed / Wet,7.42,7.25,6.83,7.58,7.17,6.58,10,10,10,0.12,0,6,Green,79.67
1163,saul m. hernandez ramirez,el encinal,en el progreso,AMECAFE,Mexico,975,975,975,10,1 kg,Arabica,Caturra,Washed / Wet,7.33,7.17,7,6.75,7.08,7,10,10,10,0.13,5,6,None,79.67
1164,alfredo bojalil,consolapa,,AMECAFE,Mexico,1264,1264,1264,253,1 kg,Arabica,Mundo Novo,Washed / Wet,6.92,7.17,7.17,7.17,7.08,7.08,10,10,10,0,0,9,,79.67
1165,doi tung development project,doi tung development project,,Specialty Coffee Association,Thailand,,,,5,1 lbs,Arabica,Peaberry,,7.17,7.17,7,7,7.25,6.92,10,10,10,0,1,0,,79.67
1166,obed rendon ponce,tepetzingo,monte blanco,AMECAFE,Mexico,1250,1250,1250,50,1 kg,Arabica,Typica,Washed / Wet,7.08,7,6.92,7.33,7.25,7.08,10,10,10,0.12,0,11,None,79.58
1167,armando luis pohlenz martinez,,finca custepec,AMECAFE,Mexico,1550,1550,1550,250,1 kg,Arabica,Caturra,Washed / Wet,7.25,6.92,6.92,7.33,7.25,7,10,10,10,0.13,0,5,Green,79.58
1168,exportadora de cafe condor s.a,,trilladora bonanza - armenia quindioa,Almacafé,Colombia,1800,1800,1800,250,70 kg,Arabica,,,7.25,7.17,7,6.75,7.17,7.33,10,10,10,0.1,0,4,,79.58
1169,carl walker,la igualdad,concepcion,Specialty Coffee Association,Guatemala,1066.8,1584.96,1325.88,223,69 kg,Arabica,,,7.08,7,6.83,7.33,7.25,7,10,10,10,0.17,1,19,,79.58
1170,cooperativa el gorrion r.l,las nubes,,Asociación de Cafés Especiales de Nicaragua,Nicaragua,1050,1050,1050,275,69 kg,Arabica,Caturra,Natural / Dry,6.92,6.92,7,7.42,7.25,7,10,10,10,0.12,0,6,Green,79.5
1171,cqi taiwan icp cqi台灣合作夥伴,su-zhen huang 黃素真,黑咖啡道咖啡,Blossom Valley International,Taiwan,700,700,700,10,2 kg,Arabica,Typica,Natural / Dry,6.92,7,7.17,7,7.42,7,10,10,10,0,0,1,,79.5
1172,exportadora de cafe condor s.a,,trilladora boananza,Almacafé,Colombia,1550,1550,1550,250,70 kg,Arabica,Caturra,Washed / Wet,7.83,7.5,7.42,7.42,7.67,7.5,10,6.67,10,0,0,2,Green,79.5
1173,armando luis pohlenz martinez,,finca custepec,AMECAFE,Mexico,1550,1550,1550,250,1 kg,Arabica,Caturra,Washed / Wet,7.25,7.08,6.92,7.25,7.58,7.08,9.33,10,10,0.12,1,20,Green,79.5
1174,mario jose fernandez,casa blanca,,AMECAFE,Mexico,1100,1100,1100,127,1 kg,Arabica,Typica,Washed / Wet,7.25,7.33,7,7.25,7.17,7.17,9.33,10,10,0.12,0,5,Bluish-Green,79.5
1175,juan luis alvarado romero,el papaturro,beneficio ixchel,Asociacion Nacional Del Café,Guatemala,1219.2,1219.2,1219.2,250,69 kg,Arabica,Bourbon,Washed / Wet,7.08,7.33,7.25,7.58,7.33,7.42,9.33,9.33,9.33,0.1,0,2,Green,79.42
1176,juan luis alvarado romero,various,las americas,Asociacion Nacional Del Café,Guatemala,1219.2,1219.2,1219.2,275,69 kg,Arabica,Other,Washed / Wet,7.25,7.33,6.83,7,7,7.17,10,10,10,0.1,1,4,Green,79.42
1177,adriana torres rico quevedo,cre-leg l-4,cre-leg beneficio,AMECAFE,Mexico,800,800,800,10,1 kg,Arabica,Typica,Washed / Wet,7,6.83,6.83,7.42,7.33,7.17,10,10,10,0.13,0,30,Green,79.42
1178,rre kunene,cnra station of divo,cnra station of divo,Specialty Coffee Association,Cote d?Ivoire,200,200,200,2,1 kg,Arabica,,Washed / Wet,7.42,7.25,6.83,7,7.33,7.08,9.33,10,10,0.13,1,2,Bluish-Green,79.33
1179,the coffee source inc.,several,spot,Specialty Coffee Association,Colombia,1200,1200,1200,250,3 lbs,Arabica,Caturra,Washed / Wet,7.42,7.25,6.75,7.25,7.42,7.25,9.33,9.33,10,0,0,3,Green,79.33
1180,eric jesus cordoba arroyo,el encanto,"el olvido, zentla, veracruz",AMECAFE,Mexico,950,950,950,30,1 kg,Arabica,Typica,Washed / Wet,7,7,6.83,7.33,7.42,6.92,10,10,10,0.14,0,23,None,79.33
1181,eric jesus cordoba arroyo,la gloria,"el olvido, zentla, veracruz",AMECAFE,Mexico,750,750,750,50,1 kg,Arabica,Typica,Washed / Wet,7.42,7.17,7.08,7.17,7.08,7.08,9.33,10,10,0.14,0,19,Green,79.33
1182,juan luis alvarado romero,conquista / morito,beneficio ixchel,Asociacion Nacional Del Café,Guatemala,,,,250,1 kg,Arabica,Bourbon,Washed / Wet,7.17,6.5,6.33,7.25,7.58,7.33,10,10,10,0.11,0,6,Green,79.33
1183,"lin, che-hao krude 林哲豪",baishencun coffee farm百勝村咖啡莊園,baishengcun coffee 百勝村咖啡莊園,Specialty Coffee Association,Taiwan,850,850,850,50,20 kg,Arabica,Typica,Washed / Wet,7.08,6.83,6.83,7.25,7.42,7.08,10,10,10,0.11,0,0,Blue-Green,79.25
1184,marco virgilio ramirez teliz,el aguacate,cafes de naranjal s.a. de c.v.,AMECAFE,Mexico,1000,1000,1000,12,1 kg,Arabica,Bourbon,Washed / Wet,7,7,6.92,7.17,7.17,7.08,10,10,10,0.13,0,10,Green,79.25
1185,juan luis alvarado romero,las delicias,beneficio ixchel,Asociacion Nacional Del Café,Guatemala,1219.2,1219.2,1219.2,50,69 kg,Arabica,Bourbon,Washed / Wet,7.33,7.42,7.33,7.42,7.5,7.42,8.67,9.33,9.33,0.1,0,0,Green,79.17
1186,janny marlith torres,la bendicion,dry in solar beds,Instituto Hondureño del Café,Honduras,1650,1650,1650,15,69 kg,Arabica,Catuai,Washed / Wet,7.58,7,6.75,6.92,7,6.92,10,10,10,0.11,0,5,Green,79.17
1187,juan luis alvarado romero,chapultepec,beneficio ixchel,Asociacion Nacional Del Café,Guatemala,1320,1320,1320,250,69 kg,Arabica,Bourbon,Washed / Wet,7.08,7,6.92,7.42,7,6.92,10,10,10,0.11,0,6,Green,79.17
1188,juan luis alvarado romero,el chile,la conquista,Asociacion Nacional Del Café,Guatemala,1300,1800,1550,275,69 kg,Arabica,Catuai,Washed / Wet,7.25,7.17,6.75,7.25,7,6.92,10,10,10,0.11,0,6,Green,79.17
1189,brent hall,,,Specialty Coffee Association,Costa Rica,,,,1,2 kg,Arabica,Catuai,Washed / Wet,7.17,7.42,7.5,8,7.25,7.83,10,10,6.67,0.1,5,20,None,79.17
1190,israel eduardo paz garcia,la tejeria,la tejeria,AMECAFE,Mexico,1550,1550,1550,10,1 kg,Arabica,Typica,Washed / Wet,7.25,7.08,6.92,7.08,7.17,7.17,9.33,10,10,0.14,0,8,None,79.17
1191,julio cesar robles flores,el delirio,"yajalon, chiapas",AMECAFE,Mexico,1450,1450,1450,53,1 kg,Arabica,Typica,Washed / Wet,7.17,6.92,6.92,7.08,7.17,7,10,10,10,0.14,0,34,Green,79.17
1192,masamichi hiroike,various,various smallholders' wet mills,Specialty Coffee Association,Mexico,1200,1200,1200,250,6,Arabica,Typica,,6.75,6.75,6.83,7.25,7.58,7.08,10,10,10,0.01,0,8,,79.17
1193,juan luis alvarado romero,las merceditas,beneficio ixchel,Asociacion Nacional Del Café,Guatemala,1700,1700,1700,50,69 kg,Arabica,Bourbon,Washed / Wet,7.58,7.67,7.42,7.42,7.67,7.67,8.67,8.67,8.67,0.1,0,1,Green,79.08
1194,german negron,hacienda caracolillo,hacienda alto grande,Specialty Coffee Association,United States (Puerto Rico),853.44,853.44,853.44,18,5 lbs,Arabica,Other,Washed / Wet,7.42,7.08,6.75,7.33,7.33,6.92,10,9.33,10,0.13,0,0,Green,79.08
1195,israel eduardo paz garcia,huanacaxtle,"zaragoza itundujia, oaxaca",AMECAFE,Mexico,1500,1500,1500,13,1 kg,Arabica,Typica,Washed / Wet,7.33,7,6.92,7.25,7.33,7.08,9.33,10,10,0.16,0,2,None,79.08
1196,juana rodriguez gutierrez,las palmas,"palo blanco, tlacuilotepec, puebla",AMECAFE,Mexico,1100,1100,1100,10,1 kg,Arabica,Mundo Novo,Washed / Wet,7.25,7.08,6.75,7.33,7.42,7,9.33,10,10,0.11,0,45,Green,79.08
1197,balbino ramirez flores,el desmoronado,el desmoronado,AMECAFE,Mexico,1200,1200,1200,10,1 kg,Arabica,Typica,Washed / Wet,7.17,7.25,7.25,7.17,7.25,7.08,9.33,9.33,10,0.1,0,0,Bluish-Green,79.08
1198,racafe & cia s.c.a,,,Almacafé,,,,,149,70 kg,Arabica,,,6.75,6.75,6.42,6.83,7.58,7.5,10,10,10,0.1,0,3,,79.08
1199,juan luis alvarado romero,various,las americas,Asociacion Nacional Del Café,Guatemala,1219.2,1219.2,1219.2,250,69 kg,Arabica,Other,Washed / Wet,7.33,7.17,6.58,7.42,7.08,6.83,10,10,10,0.12,0,3,Green,79
1200,cafes finos de exportacion s de r.l.,various,cafes finos de exportacion s. de r.l.,Instituto Hondureño del Café,Honduras,1350,1350,1350,275,2 kg,Arabica,Pacas,Washed / Wet,7,7,7,7,7,7,10,10,10,0.11,0,12,Green,79
1201,sustainable harvest coffee,,,Specialty Coffee Association,Peru,1400,1400,1400,280,69 kg,Arabica,Typica,Washed / Wet,7.67,7.17,7.08,7.25,8,7.5,8.67,9.33,9.33,0,0,4,,79
1202,gonzalo de aquino flores,,"iliatenco, guerrero",AMECAFE,Mexico,1300,1300,1300,14,1 kg,Arabica,Mundo Novo,Natural / Dry,6.75,7.08,6.67,7.25,7.17,7.08,10,10,10,0.12,0,12,None,79
1203,israel eduardo paz garcia,el sauce,"zaragoza itundujia, oaxaca",AMECAFE,Mexico,1550,1550,1550,16,1 kg,Arabica,Typica,Semi-washed / Semi-pulped,7.5,7.17,6.92,7.5,7.25,7,8.67,10,10,0.14,3,17,Green,79
1204,juan avenamar rodriguez funez,pico del oro,"el pacayal, amatenango de la frontera, chiapas",AMECAFE,Mexico,12,12,12,120,1 kg,Arabica,Typica,Washed / Wet,7.17,6.83,6.83,7.25,7.17,6.92,10,10,10,0.14,7,38,Green,79
1205,alfredo bojalil,santa teresa,amsa tuxtla,AMECAFE,Mexico,1300,1300,1300,250,1 kg,Arabica,Typica,Washed / Wet,7.33,7,6.75,7.08,7.17,7.25,9.33,10,10,0.12,0,8,Green,78.92
1206,israel eduardo paz garcia,la pandora,"zaragoza itundujia, oaxaca",AMECAFE,Mexico,1400,1400,1400,14,1 kg,Arabica,Typica,Washed / Wet,7.5,7,6.92,7.08,6.92,6.75,10,10,10,0.16,0,0,None,78.92
1207,"exportadora atlantic, s.a.",finca las marías,beneficio atlantic condega,Instituto Hondureño del Café,Nicaragua,1100,1100,1100,1,1 kg,Arabica,Caturra,Other,7.17,7,6.92,7,7,7,10,10,10,0.1,0,4,Green,78.83
1208,eileen koyanagi,,kona pacific farmers cooperative,Specialty Coffee Association,United States (Hawaii),,,,11,2 lbs,Arabica,,Natural / Dry,7.5,6.92,6.92,7.25,7.58,7.42,9.33,9.33,9.33,0.12,5,8,Green,78.75
1209,juan luis alvarado romero,la castellana,beneficio ixchel,Asociacion Nacional Del Café,Guatemala,1310.64,1310.64,1310.64,250,69 kg,Arabica,Bourbon,Washed / Wet,7.33,7.08,6.33,7.25,7,7,10,10,10,0.12,1,8,Green,78.75
1210,octavio augusto diaz trejo,"la patrona, el trebol, la cadena","tlavictepan, huatusco",AMECAFE,Mexico,1320,1320,1320,20,1 kg,Arabica,Typica,Washed / Wet,7.25,6.83,6.83,7,7.17,7,10,10,10,0.14,0,0,Green,78.75
1211,damaso martinez perez,el tesoro,el tesoro,AMECAFE,Mexico,1250,1250,1250,35,1 kg,Arabica,Typica,Semi-washed / Semi-pulped,7.25,7.33,7.17,7.25,7.08,7,8.67,10,10,0.14,0,0,None,78.75
1212,"productores de especialidad emiliano zapeata, spr.",los encinos,,AMECAFE,Mexico,1350,1350,1350,10,1 kg,Arabica,Bourbon,Washed / Wet,7.67,7.17,6.83,7.33,7.58,7.17,9.33,10,8.67,0.12,0,0,,78.75
